Created as New Dataset,Sample 059 By ir Date Thursday, May 07 2015
cm-1,A
5451.00,-0.0042
5450.88,-0.0044
5450.75,-0.0044
5450.63,-0.0044
5450.50,-0.0044
5450.38,-0.0045
5450.25,-0.0043
5450.13,-0.0041
5450.00,-0.0041
5449.88,-0.0042
5449.75,-0.0044
5449.63,-0.0045
5449.50,-0.0046
5449.38,-0.0047
5449.25,-0.0045
5449.13,-0.0043
5449.00,-0.0041
5448.88,-0.0039
5448.75,-0.0039
5448.63,-0.0040
5448.50,-0.0041
5448.38,-0.0041
5448.25,-0.0042
5448.13,-0.0043
5448.00,-0.0043
5447.88,-0.0040
5447.75,-0.0038
5447.63,-0.0039
5447.50,-0.0040
5447.38,-0.0038
5447.25,-0.0034
5447.13,-0.0033
5447.00,-0.0034
5446.88,-0.0034
5446.75,-0.0033
5446.63,-0.0035
5446.50,-0.0041
5446.38,-0.0045
5446.25,-0.0043
5446.13,-0.0039
5446.00,-0.0040
5445.88,-0.0045
5445.75,-0.0047
5445.63,-0.0046
5445.50,-0.0044
5445.38,-0.0042
5445.25,-0.0042
5445.13,-0.0042
5445.00,-0.0043
5444.88,-0.0043
5444.75,-0.0042
5444.63,-0.0042
5444.50,-0.0042
5444.38,-0.0042
5444.25,-0.0041
5444.13,-0.0041
5444.00,-0.0042
5443.88,-0.0042
5443.75,-0.0041
5443.63,-0.0041
5443.50,-0.0041
5443.38,-0.0042
5443.25,-0.0042
5443.13,-0.0044
5443.00,-0.0044
5442.88,-0.0043
5442.75,-0.0041
5442.63,-0.0039
5442.50,-0.0040
5442.38,-0.0044
5442.25,-0.0048
5442.13,-0.0051
5442.00,-0.0051
5441.88,-0.0046
5441.75,-0.0040
5441.63,-0.0037
5441.50,-0.0038
5441.38,-0.0040
5441.25,-0.0042
5441.13,-0.0044
5441.00,-0.0047
5440.88,-0.0048
5440.75,-0.0045
5440.63,-0.0040
5440.50,-0.0038
5440.38,-0.0041
5440.25,-0.0045
5440.13,-0.0047
5440.00,-0.0045
5439.88,-0.0042
5439.75,-0.0042
5439.63,-0.0043
5439.50,-0.0043
5439.38,-0.0044
5439.25,-0.0044
5439.13,-0.0045
5439.00,-0.0044
5438.88,-0.0042
5438.75,-0.0043
5438.63,-0.0045
5438.50,-0.0045
5438.38,-0.0043
5438.25,-0.0042
5438.13,-0.0044
5438.00,-0.0045
5437.88,-0.0043
5437.75,-0.0041
5437.63,-0.0042
5437.50,-0.0042
5437.38,-0.0040
5437.25,-0.0040
5437.13,-0.0042
5437.00,-0.0044
5436.88,-0.0042
5436.75,-0.0037
5436.63,-0.0035
