Created as New Dataset,Sample 024 By ir Date Thursday, May 14 2015
cm-1,A
6427.88,0.0784
6427.75,0.0772
6427.63,0.0764
6427.50,0.0767
6427.38,0.0773
6427.25,0.0775
6427.13,0.0771
6427.00,0.0760
6426.88,0.0748
6426.75,0.0746
6426.63,0.0754
6426.50,0.0758
6426.38,0.0742
6426.25,0.0722
6426.13,0.0726
6426.00,0.0752
6425.88,0.0769
6425.75,0.0758
6425.63,0.0740
6425.50,0.0741
6425.38,0.0751
6425.25,0.0752
6425.13,0.0748
6425.00,0.0757
6424.88,0.0776
6424.75,0.0785
6424.63,0.0778
6424.50,0.0768
6424.38,0.0762
6424.25,0.0751
6424.13,0.0733
6424.00,0.0722
6423.88,0.0730
6423.75,0.0747
6423.63,0.0759
6423.50,0.0764
6423.38,0.0766
6423.25,0.0764
6423.13,0.0757
6423.00,0.0751
6422.88,0.0751
6422.75,0.0756
6422.63,0.0760
6422.50,0.0763
6422.38,0.0770
6422.25,0.0778
6422.13,0.0776
6422.00,0.0758
6421.88,0.0736
6421.75,0.0727
6421.63,0.0738
6421.50,0.0756
6421.38,0.0766
6421.25,0.0765
6421.13,0.0761
6421.00,0.0761
6420.88,0.0764
6420.75,0.0765
6420.63,0.0761
6420.50,0.0754
6420.38,0.0747
6420.25,0.0748
6420.13,0.0755
6420.00,0.0756
6419.88,0.0743
6419.75,0.0724
6419.63,0.0718
6419.50,0.0732
6419.38,0.0751
6419.25,0.0763
6419.13,0.0772
6419.00,0.0785
6418.88,0.0795
6418.75,0.0794
6418.63,0.0786
6418.50,0.0780
6418.38,0.0777
6418.25,0.0772
6418.13,0.0765
6418.00,0.0761
6417.88,0.0757
6417.75,0.0749
6417.63,0.0742
6417.50,0.0746
6417.38,0.0758
6417.25,0.0762
6417.13,0.0753
6417.00,0.0742
6416.88,0.0743
6416.75,0.0753
6416.63,0.0762
6416.50,0.0770
6416.38,0.0780
6416.25,0.0786
6416.13,0.0778
6416.00,0.0759
6415.88,0.0738
6415.75,0.0722
6415.63,0.0710
6415.50,0.0711
6415.38,0.0732
6415.25,0.0757
6415.13,0.0765
6415.00,0.0760
6414.88,0.0766
6414.75,0.0787
6414.63,0.0794
6414.50,0.0772
6414.38,0.0743
6414.25,0.0743
6414.13,0.0766
6414.00,0.0778
6413.88,0.0769
6413.75,0.0761
6413.63,0.0766
6413.50,0.0772
6413.38,0.0771
6413.25,0.0767
6413.13,0.0766
6413.00,0.0756
6412.88,0.0738
6412.75,0.0729
6412.63,0.0741
6412.50,0.0759
6412.38,0.0758
6412.25,0.0746
6412.13,0.0746
6412.00,0.0760
6411.88,0.0769
6411.75,0.0762
6411.63,0.0754
6411.50,0.0754
6411.38,0.0756
6411.25,0.0751
6411.13,0.0741
6411.00,0.0735
6410.88,0.0735
6410.75,0.0740
6410.63,0.0749
6410.50,0.0759
6410.38,0.0763
6410.25,0.0756
6410.13,0.0746
6410.00,0.0746
6409.88,0.0755
6409.75,0.0768
6409.63,0.0775
6409.50,0.0776
6409.38,0.0772
6409.25,0.0762
6409.13,0.0750
6409.00,0.0740
6408.88,0.0742
6408.75,0.0755
6408.63,0.0769
6408.50,0.0776
6408.38,0.0779
6408.25,0.0788
6408.13,0.0797
6408.00,0.0787
6407.88,0.0760
6407.75,0.0740
6407.63,0.0742
6407.50,0.0754
6407.38,0.0753
6407.25,0.0741
6407.13,0.0737
6407.00,0.0745
6406.88,0.0751
6406.75,0.0747
6406.63,0.0741
6406.50,0.0743
6406.38,0.0750
6406.25,0.0754
6406.13,0.0757
6406.00,0.0767
6405.88,0.0785
6405.75,0.0800
6405.63,0.0797
6405.50,0.0772
6405.38,0.0743
6405.25,0.0737
6405.13,0.0752
6405.00,0.0765
6404.88,0.0764
6404.75,0.0765
6404.63,0.0782
6404.50,0.0798
6404.38,0.0787
6404.25,0.0759
6404.13,0.0747
6404.00,0.0761
6403.88,0.0779
6403.75,0.0781
6403.63,0.0774
6403.50,0.0773
6403.38,0.0777
6403.25,0.0778
6403.13,0.0776
6403.00,0.0777
6402.88,0.0785
6402.75,0.0794
6402.63,0.0798
6402.50,0.0789
6402.38,0.0773
6402.25,0.0766
6402.13,0.0772
6402.00,0.0773
6401.88,0.0759
6401.75,0.0745
6401.63,0.0749
6401.50,0.0760
6401.38,0.0752
6401.25,0.0732
6401.13,0.0728
6401.00,0.0745
6400.88,0.0757
6400.75,0.0751
6400.63,0.0748
6400.50,0.0756
6400.38,0.0760
6400.25,0.0751
6400.13,0.0754
6400.00,0.0780
6399.88,0.0803
6399.75,0.0794
6399.63,0.0770
6399.50,0.0761
6399.38,0.0769
6399.25,0.0767
6399.13,0.0753
6399.00,0.0747
6398.88,0.0758
6398.75,0.0774
6398.63,0.0780
6398.50,0.0775
6398.38,0.0768
6398.25,0.0765
6398.13,0.0766
6398.00,0.0767
6397.88,0.0759
6397.75,0.0748
6397.63,0.0747
6397.50,0.0759
6397.38,0.0765
6397.25,0.0758
6397.13,0.0759
6397.00,0.0777
6396.88,0.0791
6396.75,0.0780
6396.63,0.0760
6396.50,0.0759
6396.38,0.0776
6396.25,0.0785
6396.13,0.0781
6396.00,0.0780
6395.88,0.0784
6395.75,0.0778
6395.63,0.0758
6395.50,0.0741
6395.38,0.0736
6395.25,0.0735
6395.13,0.0734
6395.00,0.0741
6394.88,0.0750
6394.75,0.0754
6394.63,0.0755
6394.50,0.0765
6394.38,0.0782
6394.25,0.0792
6394.13,0.0795
6394.00,0.0800
6393.88,0.0805
6393.75,0.0797
6393.63,0.0778
6393.50,0.0767
6393.38,0.0769
6393.25,0.0767
6393.13,0.0755
6393.00,0.0743
6392.88,0.0741
6392.75,0.0742
6392.63,0.0743
6392.50,0.0750
6392.38,0.0762
6392.25,0.0765
6392.13,0.0758
6392.00,0.0753
6391.88,0.0759
6391.75,0.0762
6391.63,0.0757
6391.50,0.0755
6391.38,0.0768
6391.25,0.0785
6391.13,0.0786
6391.00,0.0775
6390.88,0.0769
6390.75,0.0772
6390.63,0.0772
6390.50,0.0764
6390.38,0.0758
6390.25,0.0767
6390.13,0.0786
6390.00,0.0791
6389.88,0.0775
6389.75,0.0755
6389.63,0.0752
6389.50,0.0758
6389.38,0.0746
6389.25,0.0723
6389.13,0.0727
6389.00,0.0769
6388.88,0.0811
6388.75,0.0812
6388.63,0.0789
6388.50,0.0779
6388.38,0.0786
6388.25,0.0780
6388.13,0.0760
6388.00,0.0747
6387.88,0.0750
6387.75,0.0753
6387.63,0.0753
6387.50,0.0761
6387.38,0.0773
6387.25,0.0768
6387.13,0.0756
6387.00,0.0766
6386.88,0.0793
6386.75,0.0798
6386.63,0.0773
6386.50,0.0755
6386.38,0.0765
6386.25,0.0773
6386.13,0.0756
6386.00,0.0738
6385.88,0.0747
6385.75,0.0766
6385.63,0.0767
6385.50,0.0762
6385.38,0.0772
6385.25,0.0780
6385.13,0.0762
6385.00,0.0736
6384.88,0.0738
6384.75,0.0773
6384.63,0.0807
6384.50,0.0819
6384.38,0.0812
6384.25,0.0790
6384.13,0.0758
6384.00,0.0737
6383.88,0.0744
6383.75,0.0762
6383.63,0.0762
6383.50,0.0751
6383.38,0.0754
6383.25,0.0773
6383.13,0.0778
6383.00,0.0764
6382.88,0.0761
6382.75,0.0783
6382.63,0.0807
6382.50,0.0806
6382.38,0.0783
6382.25,0.0760
6382.13,0.0745
6382.00,0.0741
6381.88,0.0746
6381.75,0.0752
6381.63,0.0749
6381.50,0.0744
6381.38,0.0751
6381.25,0.0769
6381.13,0.0782
6381.00,0.0779
6380.88,0.0772
6380.75,0.0769
6380.63,0.0766
6380.50,0.0760
6380.38,0.0759
6380.25,0.0769
6380.13,0.0778
6380.00,0.0774
6379.88,0.0761
6379.75,0.0754
6379.63,0.0755
6379.50,0.0754
6379.38,0.0746
6379.25,0.0735
6379.13,0.0728
6379.00,0.0724
6378.88,0.0720
6378.75,0.0719
6378.63,0.0729
6378.50,0.0748
6378.38,0.0763
6378.25,0.0765
6378.13,0.0757
6378.00,0.0752
6377.88,0.0753
6377.75,0.0751
6377.63,0.0747
6377.50,0.0751
6377.38,0.0762
6377.25,0.0766
6377.13,0.0759
6377.00,0.0757
6376.88,0.0766
6376.75,0.0776
6376.63,0.0774
6376.50,0.0770
6376.38,0.0774
6376.25,0.0779
6376.13,0.0771
6376.00,0.0758
6375.88,0.0757
6375.75,0.0763
6375.63,0.0762
6375.50,0.0757
6375.38,0.0757
6375.25,0.0757
6375.13,0.0752
6375.00,0.0747
6374.88,0.0756
6374.75,0.0768
6374.63,0.0770
6374.50,0.0768
6374.38,0.0779
6374.25,0.0793
6374.13,0.0790
6374.00,0.0773
6373.88,0.0767
6373.75,0.0775
6373.63,0.0775
6373.50,0.0764
6373.38,0.0764
6373.25,0.0781
6373.13,0.0789
6373.00,0.0779
6372.88,0.0772
6372.75,0.0779
6372.63,0.0783
6372.50,0.0770
6372.38,0.0758
6372.25,0.0765
6372.13,0.0777
6372.00,0.0773
6371.88,0.0756
6371.75,0.0743
6371.63,0.0735
6371.50,0.0731
6371.38,0.0737
6371.25,0.0756
6371.13,0.0770
6371.00,0.0767
6370.88,0.0769
6370.75,0.0789
6370.63,0.0804
6370.50,0.0788
6370.38,0.0761
6370.25,0.0760
6370.13,0.0777
6370.00,0.0773
6369.88,0.0744
6369.75,0.0729
6369.63,0.0746
6369.50,0.0763
6369.38,0.0750
6369.25,0.0731
6369.13,0.0741
6369.00,0.0774
6368.88,0.0792
6368.75,0.0780
6368.63,0.0758
6368.50,0.0749
6368.38,0.0751
6368.25,0.0754
6368.13,0.0756
6368.00,0.0765
6367.88,0.0780
6367.75,0.0793
6367.63,0.0789
6367.50,0.0766
6367.38,0.0741
6367.25,0.0737
6367.13,0.0755
6367.00,0.0777
6366.88,0.0781
6366.75,0.0768
6366.63,0.0752
6366.50,0.0748
6366.38,0.0757
6366.25,0.0773
6366.13,0.0786
6366.00,0.0792
6365.88,0.0794
6365.75,0.0799
6365.63,0.0799
6365.50,0.0785
6365.38,0.0762
6365.25,0.0752
6365.13,0.0767
6365.00,0.0785
6364.88,0.0779
6364.75,0.0755
6364.63,0.0743
6364.50,0.0759
6364.38,0.0777
6364.25,0.0770
6364.13,0.0748
6364.00,0.0746
6363.88,0.0773
6363.75,0.0799
6363.63,0.0791
6363.50,0.0762
6363.38,0.0746
6363.25,0.0756
6363.13,0.0773
6363.00,0.0774
6362.88,0.0764
6362.75,0.0759
6362.63,0.0763
6362.50,0.0764
6362.38,0.0757
6362.25,0.0752
6362.13,0.0759
6362.00,0.0774
6361.88,0.0784
6361.75,0.0782
6361.63,0.0773
6361.50,0.0764
6361.38,0.0757
6361.25,0.0749
6361.13,0.0743
6361.00,0.0746
6360.88,0.0757
6360.75,0.0765
6360.63,0.0764
6360.50,0.0756
6360.38,0.0751
6360.25,0.0750
6360.13,0.0752
6360.00,0.0755
6359.88,0.0760
6359.75,0.0762
6359.63,0.0761
6359.50,0.0763
6359.38,0.0767
6359.25,0.0763
6359.13,0.0750
6359.00,0.0741
6358.88,0.0745
6358.75,0.0754
6358.63,0.0754
6358.50,0.0751
6358.38,0.0760
6358.25,0.0775
6358.13,0.0772
6358.00,0.0749
6357.88,0.0739
6357.75,0.0758
6357.63,0.0779
6357.50,0.0768
6357.38,0.0740
6357.25,0.0735
6357.13,0.0764
6357.00,0.0790
6356.88,0.0790
6356.75,0.0778
6356.63,0.0778
6356.50,0.0790
6356.38,0.0794
6356.25,0.0785
6356.13,0.0771
6356.00,0.0760
6355.88,0.0755
6355.75,0.0759
6355.63,0.0771
6355.50,0.0779
6355.38,0.0770
6355.25,0.0747
6355.13,0.0728
6355.00,0.0719
6354.88,0.0719
6354.75,0.0724
6354.63,0.0738
6354.50,0.0757
6354.38,0.0774
6354.25,0.0778
6354.13,0.0774
6354.00,0.0770
6353.88,0.0769
6353.75,0.0769
6353.63,0.0772
6353.50,0.0783
6353.38,0.0794
6353.25,0.0790
6353.13,0.0768
6353.00,0.0746
6352.88,0.0745
6352.75,0.0765
6352.63,0.0782
6352.50,0.0786
6352.38,0.0789
6352.25,0.0798
6352.13,0.0802
6352.00,0.0786
6351.88,0.0760
6351.75,0.0749
6351.63,0.0754
6351.50,0.0755
6351.38,0.0746
6351.25,0.0743
6351.13,0.0755
6351.00,0.0766
6350.88,0.0757
6350.75,0.0737
6350.63,0.0725
6350.50,0.0721
6350.38,0.0719
6350.25,0.0723
6350.13,0.0743
6350.00,0.0765
6349.88,0.0768
6349.75,0.0752
6349.63,0.0744
6349.50,0.0759
6349.38,0.0776
6349.25,0.0778
6349.13,0.0775
6349.00,0.0784
6348.88,0.0794
6348.75,0.0790
6348.63,0.0777
6348.50,0.0775
6348.38,0.0785
6348.25,0.0786
6348.13,0.0773
6348.00,0.0761
6347.88,0.0763
6347.75,0.0767
6347.63,0.0763
6347.50,0.0758
6347.38,0.0763
6347.25,0.0772
6347.13,0.0775
6347.00,0.0776
6346.88,0.0782
6346.75,0.0787
6346.63,0.0780
6346.50,0.0767
6346.38,0.0763
6346.25,0.0766
6346.13,0.0760
6346.00,0.0741
6345.88,0.0732
6345.75,0.0748
6345.63,0.0776
6345.50,0.0788
6345.38,0.0778
6345.25,0.0764
6345.13,0.0764
6345.00,0.0770
6344.88,0.0774
6344.75,0.0776
6344.63,0.0783
6344.50,0.0792
6344.38,0.0793
6344.25,0.0786
6344.13,0.0777
6344.00,0.0764
6343.88,0.0745
6343.75,0.0726
6343.63,0.0724
6343.50,0.0741
6343.38,0.0759
6343.25,0.0765
6343.13,0.0764
6343.00,0.0770
6342.88,0.0779
6342.75,0.0781
6342.63,0.0774
6342.50,0.0767
6342.38,0.0764
6342.25,0.0765
6342.13,0.0771
6342.00,0.0784
6341.88,0.0791
6341.75,0.0781
6341.63,0.0763
6341.50,0.0757
6341.38,0.0761
6341.25,0.0755
6341.13,0.0738
6341.00,0.0738
6340.88,0.0765
6340.75,0.0790
6340.63,0.0789
6340.50,0.0773
6340.38,0.0771
6340.25,0.0783
6340.13,0.0783
6340.00,0.0767
6339.88,0.0758
6339.75,0.0764
6339.63,0.0765
6339.50,0.0753
6339.38,0.0744
6339.25,0.0752
6339.13,0.0764
6339.00,0.0757
6338.88,0.0741
6338.75,0.0740
6338.63,0.0758
6338.50,0.0771
6338.38,0.0766
6338.25,0.0757
6338.13,0.0766
6338.00,0.0786
6337.88,0.0793
6337.75,0.0785
6337.63,0.0779
6337.50,0.0789
6337.38,0.0803
6337.25,0.0803
6337.13,0.0792
6337.00,0.0786
6336.88,0.0782
6336.75,0.0773
6336.63,0.0761
6336.50,0.0764
6336.38,0.0780
6336.25,0.0783
6336.13,0.0761
6336.00,0.0738
6335.88,0.0741
6335.75,0.0758
6335.63,0.0762
6335.50,0.0752
6335.38,0.0750
6335.25,0.0763
6335.13,0.0774
6335.00,0.0771
6334.88,0.0764
6334.75,0.0762
6334.63,0.0759
6334.50,0.0751
6334.38,0.0747
6334.25,0.0755
6334.13,0.0765
6334.00,0.0765
6333.88,0.0759
6333.75,0.0756
6333.63,0.0760
6333.50,0.0764
6333.38,0.0764
6333.25,0.0761
6333.13,0.0757
6333.00,0.0754
6332.88,0.0758
6332.75,0.0770
6332.63,0.0783
6332.50,0.0791
6332.38,0.0796
6332.25,0.0800
6332.13,0.0798
6332.00,0.0789
6331.88,0.0781
6331.75,0.0782
6331.63,0.0792
6331.50,0.0797
6331.38,0.0792
6331.25,0.0776
6331.13,0.0759
6331.00,0.0747
6330.88,0.0750
6330.75,0.0763
6330.63,0.0775
6330.50,0.0779
6330.38,0.0781
6330.25,0.0786
6330.13,0.0790
6330.00,0.0782
6329.88,0.0768
6329.75,0.0765
6329.63,0.0778
6329.50,0.0788
6329.38,0.0777
6329.25,0.0758
6329.13,0.0755
6329.00,0.0772
6328.88,0.0789
6328.75,0.0787
6328.63,0.0772
6328.50,0.0765
6328.38,0.0774
6328.25,0.0784
6328.13,0.0781
6328.00,0.0764
6327.88,0.0745
6327.75,0.0737
6327.63,0.0738
6327.50,0.0744
6327.38,0.0753
6327.25,0.0766
6327.13,0.0781
6327.00,0.0791
6326.88,0.0793
6326.75,0.0789
6326.63,0.0786
